23:52:52.964 [main] INFO  c.b.launchers.LaunchMavenCommand - Executing maven archetype command - browserstack-sdk-archetype-integrate
00:22:50.563 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
00:22:50.563 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/Mobile_Project
00:25:21.821 [Worker-42: Launching testLogin.Ftest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
00:25:21.822 [Worker-42: Launching testLogin.Ftest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
00:25:21.823 [Worker-42: Launching testLogin.Ftest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
00:25:21.823 [Worker-42: Launching testLogin.Ftest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.10}
00:29:07.813 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
00:29:07.813 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
00:29:07.814 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/Mobile_Project
00:29:07.814 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
00:29:07.814 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
00:29:07.815 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/Mobile_Project
00:30:52.036 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
00:30:52.036 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
00:30:52.037 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/Mobile_Project
00:30:52.037 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
00:30:52.037 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
00:30:52.038 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/Mobile_Project
00:35:00.861 [Framework stop - Equinox Container: 6e738810-5251-40d7-85f8-09e10f6dd81e] INFO  c.b.BrowserStackPluginActivator - Stopping BrowserStack Plugin...
